BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR;TRADINGSESSION;VOLUME;TRADE_SESSION_DATE;RECALC_DATE
SNDX;IMOEX;19.01.2024;Индекс МосБиржи;Индекс МосБиржи;3166,37;3176,13;3179,21;3154,46;45854909734;0;0;2;5,6078E+12;RUB;1771049604;3;;19.01.2024;
SNDX;IMOEX;22.01.2024;Индекс МосБиржи;Индекс МосБиржи;3172,15;3161,44;3179,11;3157,37;42130512577;0;0;2;5,61804E+12;RUB;1771049604;3;;22.01.2024;
SNDX;IMOEX;23.01.2024;Индекс МосБиржи;Индекс МосБиржи;3175,74;3176,19;3179,75;3166,66;45044845848;0;0;2;5,6244E+12;RUB;1771049604;3;;23.01.2024;
SNDX;IMOEX;24.01.2024;Индекс МосБиржи;Индекс МосБиржи;3162,41;3176,59;3183,7;3152,96;46503277369;0;0;2;5,60079E+12;RUB;1771049604;3;;24.01.2024;
SNDX;IMOEX;25.01.2024;Индекс МосБиржи;Индекс МосБиржи;3157,74;3163,36;3166,95;3143,89;45461201947;0;0;2;5,59251E+12;RUB;1771049604;3;;25.01.2024;
SNDX;IMOEX;26.01.2024;Индекс МосБиржи;Индекс МосБиржи;3163,21;3164,55;3171,95;3157,76;45979583256;0;0;2;5,6022E+12;RUB;1771049604;3;;26.01.2024;
SNDX;IMOEX;29.01.2024;Индекс МосБиржи;Индекс МосБиржи;3176,61;3169,57;3184,15;3169,57;46667512330;0;0;2;5,62594E+12;RUB;1771049604;3;;29.01.2024;
SNDX;IMOEX;30.01.2024;Индекс МосБиржи;Индекс МосБиржи;3196,08;3181,75;3196,15;3178,82;71884614821;0;0;2;5,66041E+12;RUB;1771049604;3;;30.01.2024;
SNDX;IMOEX;31.01.2024;Индекс МосБиржи;Индекс МосБиржи;3214,19;3201,48;3219,41;3198,83;62393378068;0;0;2;5,69249E+12;RUB;1771049604;3;;31.01.2024;
SNDX;IMOEX;01.02.2024;Индекс МосБиржи;Индекс МосБиржи;3229,89;3220,43;3233,21;3220,38;56072080315;0;0;2;5,72029E+12;RUB;1771049604;3;;01.02.2024;
SNDX;IMOEX;02.02.2024;Индекс МосБиржи;Индекс МосБиржи;3226,35;3229,48;3232,35;3215;58221436624;0;0;2;5,71403E+12;RUB;1771049604;3;;02.02.2024;
SNDX;IMOEX;05.02.2024;Индекс МосБиржи;Индекс МосБиржи;3226,79;3218,91;3232,38;3218,91;79772720557;0;0;2;5,71481E+12;RUB;1771049604;3;;05.02.2024;
SNDX;IMOEX;06.02.2024;Индекс МосБиржи;Индекс МосБиржи;3238,4;3234,44;3238,4;3228,78;47381481665;0;0;2;5,73536E+12;RUB;1771049604;3;;06.02.2024;
SNDX;IMOEX;07.02.2024;Индекс МосБиржи;Индекс МосБиржи;3256,58;3240,57;3259,24;3240,16;71996364667;0;0;2;5,76757E+12;RUB;1771049604;3;;07.02.2024;
SNDX;IMOEX;08.02.2024;Индекс МосБиржи;Индекс МосБиржи;3241,81;3261,18;3266,45;3236,79;93017428633;0;0;2;5,7414E+12;RUB;1771049604;3;;08.02.2024;
SNDX;IMOEX;09.02.2024;Индекс МосБиржи;Индекс МосБиржи;3242,38;3231,3;3242,38;3219,56;49774764900;0;0;2;5,74242E+12;RUB;1771049604;3;;09.02.2024;
SNDX;IMOEX;12.02.2024;Индекс МосБиржи;Индекс МосБиржи;3248,5;3241,57;3248,5;3227,7;53148275941;0;0;2;5,75325E+12;RUB;1771049604;3;;12.02.2024;
